tempavg,lightavg,humidityavg
30,98.1,31.6
28.1,97.6,34.1
31.6,97.2,28.9
31.9,97.3,23.5
31.6,96.1,14.1
31.6,97.5,12.7
31,96.7,8.1
31.3,96,10.5
32.3,98.4,12.2
31.3,97.3,9.4
32.6,97.7,11.4
32.3,97.4,11.4
31.6,96.8,9.2
31.9,96.5,10
32.6,97.8,12.8
33.5,97.4,14.9
32.3,95.2,10.9
30.6,96.2,11.2
31,94.8,10.8
31.3,95.5,12.5
31.3,97.9,12.8
32.3,97.8,10.8
31.3,92.5,9.5
32.3,97.5,13
31.3,91.5,13.9
30.6,95.2,11.9
31.9,97.4,7.5
31.3,96,12
31.9,96.3,10.9
31,92.9,8.4
30,94.5,11.1
31.6,97.5,13.5
31.3,97.4,13
31.3,96.4,10
31.6,95.9,13.1
31.9,98.6,11.4
31.3,97.5,7.8
32.9,96.8,10.9
32.6,97.4,11.4
31,96.2,10.6
31,95.8,11.7
31.9,98.6,11.6
31.3,96.3,9.2
31,94.6,12
31.3,96.7,11.7
30.6,96.3,9.2
31,95.5,12.8
31.3,97,11.9
30,95.1,11.2
31.3,91.6,12.8
30,95.2,11.4
30.3,96.4,10
30.3,95.5,11.4
30.3,97.7,10.6
30.3,91.5,8.7
31,97.2,12.2
29.4,94,10.9
30.6,88.5,15
29.7,93.8,10.5
30.6,96.8,6.4
29.4,95.1,11.4
30,92.1,7.9
30.3,96.5,11.6
29.4,93.1,11.4
30,87.5,14.6
29.4,92.7,10.1
29.7,95.7,7.6
29,93.2,10.8
30.3,97.1,11.7
28.7,96.6,11.2
30,90.6,12.5
29.4,94.6,10.1
30,96.1,7.6
29,93.9,10.5
29.4,90.5,7.5
30,96.9,11.2
28.4,93.3,10.9
29.7,87.4,11.4
28.4,92.7,10
28.1,93.6,15.2
29,94.7,10.8
28.7,90.9,7.8
29.4,96.4,11.9
27.7,91.7,12
29.4,85.5,12.2
28.1,91.2,10.9
28.7,95.1,8.7
28.1,91.8,11.4
28.7,93.5,11.2
28.4,85.7,7
28.7,96.7,13.3
27.4,89.1,11.4
29,82.7,13
27.7,89.1,11.2
23.5,95.2,36.9
23.5,92.5,28.4
23.2,95.3,36.8
21.9,86.9,33.5
23.5,96.6,34.6
23.9,85.7,37.7
21.3,91.3,39.6
22.9,97.3,39.2
21.6,94.3,37.6
22.3,96.3,38.4
21.6,88.7,33.9
22.6,97.6,37.6
21.9,96.6,38.5
23.2,90.6,39.5
21.6,96.7,38.4
23.2,96.7,40.6
22.6,95.5,37.3
24.2,96.2,37.3
21.9,91,34.6
21.6,93.9,38
22.9,89.1,40.1
21,95.2,39.5
21.9,96.4,43.1
21,95.4,39.5
21.9,95,42
21,90.8,36.6
20.3,93.5,41.8
22.3,89.1,42.8
20.6,93.4,42.3
20.6,95.6,46.7
20.3,94.2,41.2
20.3,90.3,38.7
20.6,97.1,43.1
19.7,93.9,42.9
21.6,90.3,44.2
19.7,93.7,43.6
20.6,95.9,45.6
19.7,94.5,41.7
20.3,90.1,38.4
21,98.1,39.6
20,93.7,42.9
21.6,89.1,44.7
20,93.4,42.1
21.3,96.9,35.8
20.3,95.5,37.7
22.3,97.8,33.5
20.6,89.1,33.2
22.3,98.7,33.3
20.6,93.3,34.7
21.6,88.7,38.8
20,94.7,34.6
22.6,97.9,35.4
21.3,98,32.5
22.9,98,33.5
21.3,91.1,30.2
22.6,98.6,31.4
22.9,96.7,32.7
21.9,88.2,35.5
21,93.8,34.6
21.6,97.8,38.2
21.6,97.9,32.4
20.3,90.9,31.6
21.6,96.6,35.2
20.3,94.4,36.8
21.6,88.5,37.9
20,94.1,37.4
20.3,97.8,45.5
20.6,97.9,35.8
21,98.1,41.8
19,89.7,37.3
21.3,98.6,36.8
18.7,91,42.8
20.6,86.9,43.3
18.7,93.5,41.7
20.3,95.8,37.7
21,98,35.4
19.7,95.7,36
19.4,88.9,34.1
20.3,97.8,35.2
18.7,87.9,37.1
20.3,77.1,37.7
18.4,87.3,36.3
19.4,95.2,38
18.1,92.6,33.6
18.7,86.3,31.4
20,97,34.3
18.4,91.7,35.7
19.7,85,36.9
18.4,91.6,35.4
20.3,95.4,36.8
19.4,96.6,34.1
19.7,96.3,36
19.4,88.9,31.3
18.4,92.7,35.5
20.3,86.9,37.3
18.4,91.1,36.6
20,97.8,38.2
17.4,92.2,35.8
17.1,80.4,33.5
19.4,96.9,35.8
16.8,85.7,38.2
18.4,76.7,38.7
16.5,88.3,39.2
18.1,94.5,44.4
16.8,94.6,37.7
17.4,93.9,41.7
17.4,83.1,35.2
17.4,95,41.4
16.8,88.5,40.6
18.4,79.8,41.8
16.5,85.7,40.4
17.7,92.7,41
16.8,89.8,37.1
17.7,94.7,35.1
16.8,82,37.9
18.4,72.6,38.8
16.8,82.9,36.3
18.1,94.4,35.4
16.8,92.2,33.2
18.1,95.1,34.9
17.4,82.5,29.7
18.1,98.3,33.6
16.8,86.7,34.4
18.4,77.3,35.5
17.1,88.9,33.8
18.4,95.7,35.1
17.1,91.3,31.1
19,98,31.1
17.7,83.3,28.4
19.7,98.2,30.6
17.1,88.5,33.3
18.7,80.4,34.6
17.4,89.6,33.3
19.7,96.9,34.4
17.1,92.2,31.9
19,97.8,33.6
17.7,80.1,28.9
18.7,69.2,35.7
17.1,84.6,34.3
19.7,96.7,35.7
17.1,88.2,33.3
17.7,76.4,30.2
18.4,94.4,34.3
17.1,80,35.2
18.7,69.1,35.7
17.1,82.4,35.4
18.7,90.9,33.9
17.1,84.3,34.1
17.7,70.2,29.5
18.1,90.7,29.7
16.8,73.4,35.1
18.7,56.9,35.1
17.1,72.7,31.7
18.7,88.3,30.5
16.8,75.8,28.6
17.4,61.1,24.6
18.1,88.7,27
16.8,65.8,28.1
18.4,48.2,29.2
16.8,65,28.3
18.4,84.7,30.2
16.8,72.5,26.4
17.4,54.1,23.1
17.7,82.1,29.2
16.8,60.6,27.6
18.4,41.4,29.8
16.8,55,29.4
18.1,70.1,35.2
16.5,56.1,29.4
17.7,62.3,32.7
17.1,36.1,26.2
17.7,67.8,31.9
16.5,39.3,31.1
18.4,19,32.1
16.8,30.4,32.1
17.7,46.6,36.6
16.1,32.1,31.4
17.1,43.6,34.3
17.1,17.7,27.2
18.1,6.6,33.8
16.5,12,33.5
17.4,23.3,35.7
15.8,12.1,32.5
16.8,22.5,34.1
16.8,25.8,32.2
15.8,7.3,33.8
17.4,4.3,34.1
11.9,3.1,51.4
17.1,8.8,35.5
15.5,2.9,31.4
16.5,2.7,27.6
16.5,16,32.7
15.5,4,33
17.1,3.4,33.3
12.3,1.4,50.3
16.8,5.1,37.9
15.2,1.5,32.4
16.1,7.5,35.2
16.1,2.2,28.4
16.5,15.1,34.6
17.1,3.3,34.4
13.5,1,47.2
16.5,4.5,37.6
14.5,1.2,33.5
16.1,7.3,36.8
15.8,2.1,29.2
14.8,3.4,34.7
16.8,3.3,35.2
13.5,1,44.2
14.8,1.2,33.2
15.8,6.8,35.8
15.5,2.2,29.8
15.8,14,33.6
14.8,3.4,34.6
16.8,3.3,35.1
14.2,0.9,40.9
16.1,4.1,39.2
14.5,1.2,34.4
15.8,7.2,36.5
15.5,2.2,29.2
15.8,14.2,33.9
16.8,3.3,35.5
14.2,1,38.2
16.1,4.1,38
14.2,1.2,33.8
15.2,2.2,30
14.5,3.5,35.2
16.5,3.4,36.2
14.2,1,37.3
15.8,4.1,39.6
13.9,1.2,35.5
15.2,2,30.8
15.5,14.2,34.6
16.1,3.4,38
14.2,1,38
15.5,4.1,42
13.9,1.2,36.2
15.2,6.8,38.2
15.2,14,36.2
14.2,3.6,36.6
15.8,3.5,37.9
13.9,1.1,37.7
15.5,4.1,40.7
13.9,1.2,36.2
14.8,7.1,38.5
14.5,1.9,32.1
15.2,13.9,36.2
13.9,3.6,36.9
15.8,3.5,38.8
13.9,1,38
15.5,4.1,40.4
13.9,1.2,36
14.8,6.7,39
14.5,1.8,31.6
15.2,14.8,37.3
13.9,3.6,37.4
15.5,3.6,39.9
13.9,1.1,38.4
13.2,1.2,37.1
14.8,7.2,39.3
14.5,1.8,32.4
14.8,14.6,36.3
15.5,3.5,40.1
13.9,1.1,38.7
15.2,4.2,41.4
13.5,1.2,36.8
14.5,6.8,39.6
14.5,1.8,32.2
15.5,3.5,39.5
13.5,1.1,38.5
13.5,1.2,36.6
14.2,1.8,32.2
13.5,3.6,37.7
15.5,3.5,38.5
13.5,1,39.5
15.2,4.1,40.9
13.2,1.2,36.6
14.5,7.1,39.9
14.2,1.8,32.8
14.8,14.3,37.1
13.5,3.6,38.4
15.2,3.5,40.1
13.2,1,40.7
14.8,4.2,42.9
13.2,1.2,37.3
14.2,7,40.9
14.2,1.9,32.5
14.5,14.7,38.5
13.5,3.6,38.8
15.2,3.5,39.8
13.2,1.1,40.7
14.8,4.1,42.9
11.9,1.1,48.6
14.2,7.2,40.7
14.2,1.9,33
14.5,14.1,38.2
12.9,3.7,39.3
15.2,3.5,40.4
13.2,1.1,40.6
14.5,4,41.5
12.3,1.1,61.5
14.2,12.6,39.2
13.2,3.7,39.8
14.8,3.6,41.8
13.2,1.1,42
14.5,4.1,43.1
12.6,1.1,54
13.9,1.9,34.3
14.2,12.9,39.9
12.6,3.6,41
14.8,3.5,42.3
13.2,1.1,41.7
14.5,4.1,43.3
12.6,1.1,50.3
14.2,7.3,42.1
13.2,1.9,36.8
13.9,12.9,39.5
10.6,3.4,47.7
14.8,3.5,42
12.9,1.1,41.5
14.5,4.2,45
12.6,1.1,42
13.9,1.8,34.9
13.9,12.9,39.9
11.9,3.4,44.4
14.8,3.5,41.8
12.9,1.1,41.5
14.2,4.2,45.8
12.3,1.1,42
13.5,1.8,35.1
13.9,13.1,41
12.3,3.5,43.7
14.5,3.5,45.1
12.9,1.1,43.1
14.2,4.2,45.9
12.6,1.1,41.8
12.9,1.8,38.4
13.9,13.3,42.8
12.3,3.5,43.1
14.2,3.5,44.8
12.6,1.1,44.4
14.2,4.2,46.2
12.3,1.2,42.8
13.5,7.4,45
12.3,3.5,44.5
14.2,3.6,43.9
12.3,1.1,45.6
13.9,4.3,46.1
11.9,1.2,44.4
13.5,6.9,45.1
12.9,1.8,38.8
11.9,3.5,45.3
13.9,3.6,45.1
12.6,1.1,44.7
14.2,4.2,47.3
11.9,1.2,44.4
13.5,7.2,45.9
12.9,1.8,39.5
13.9,12.8,42.9
12.3,3.6,45.1
13.9,3.6,47
12.6,1.2,45.8
14.2,4.2,47.8
12.6,1.2,42.8
13.5,7.3,45.1
13.2,1.8,38.4
13.9,13,43.9
12.6,3.6,44.7
14.2,3.5,45.9
12.6,1.1,45.3
13.9,4.1,47.2
12.3,1.2,43.1
12.9,1.8,39.2
13.2,13,43.1
12.3,3.4,45.8
14.2,3.6,45.5
12.3,1.1,46.6
13.5,4.2,48.1
11.9,1.2,44.2
12.9,7,46.6
12.9,1.8,38.7
13.2,13,43.3
11.9,3.4,46.6
13.9,3.6,46.2
12.3,1.1,45.9
13.5,4.1,50
11.9,1.2,44.2
12.6,1.9,39.8
12.9,12.9,44
11.6,3.5,45.9
13.9,3.6,45.5
11.9,1.1,46.4
13.5,4.2,49.4
11.6,1.2,44.4
12.9,7,47.8
12.6,1.9,40.1
13.2,12.5,44.8
11.6,3.5,46.7
13.9,3.6,45.9
11.6,1.1,47.2
13.2,4.2,50.3
11.6,1.2,44.8
12.9,12.7,46.1
11.6,3.5,47
13.9,3.6,46.1
11.6,1.1,47
13.2,4.2,51
11.3,1.2,45.6
12.9,12.7,45.8
10.6,3.4,53.8
13.5,3.6,47
11.6,1.1,47.5
13.2,4.2,51.1
11.3,1.2,45.9
