tempavg,lightavg,humidityavg
23.5,90.7,43.7
23.2,93.3,50
24.2,95.4,54
23.5,95.2,48.6
24.8,87.3,52.1
22.9,92.6,50.3
23.2,93.5,48.6
22.9,89.9,43.6
22.9,92.6,51.3
25.2,95.7,46.2
25.8,96.2,51.3
24.2,89.7,54.1
25.2,96.9,45.3
22.9,96.1,50.5
23.9,94.5,47.7
22.9,89.3,42.8
24.5,94.9,46.6
24.8,95.6,50.8
23.9,89.3,53
24.5,96.6,46.6
22.9,93.5,49.6
23.5,94.6,47.3
22.9,91.4,43.3
23.2,94.3,51
26.1,96.1,43.9
25.8,96.7,45.6
25.5,96.5,48.6
24.2,91,53.5
25.5,97.6,44.4
23.2,94.6,49.9
23.2,94.9,47.8
23.2,90,43.4
26.5,96.9,44.2
26.8,96.4,41.2
27.1,96.7,46.2
23.9,90.2,52.4
26.5,97.5,42.6
22.9,94.2,49.2
24.2,94.6,46.9
22.9,88.3,42.8
27.1,97.7,46.1
23.9,88.6,52.6
22.9,94.4,50
24.5,96.2,45.8
23.5,92.1,41.7
24.2,94.2,48.8
25.2,96,47.5
24.5,89.2,52.7
23.2,93.5,48.8
23.5,94.1,46.6
22.6,89.6,41.4
22.9,93.2,49.7
25.5,96,47.8
23.9,90.5,52.4
24.8,96.8,44.4
22.9,94.7,48.3
23.9,94.1,48
22.9,89,42
26.1,97,45.1
26.1,96.3,44.4
26.1,96.8,47.7
23.9,91.1,51
23.2,95,48.9
25.2,96.5,45.8
23.5,92.1,40.7
23.9,94.9,47.2
25.2,95.4,49.1
24.5,89.1,51
23.2,93.4,48.1
23.2,92.6,47.5
22.6,92.3,42
22.6,94,49.9
23.9,95.6,45.1
24.8,96.7,46.6
23.9,92,53.5
26.5,98.4,44.8
23.2,95.2,49.1
25.2,96.3,45.3
25.2,96.9,39.5
25.8,95.8,45.9
26.5,96.2,39.3
26.8,96.8,44.8
26.1,92.5,49.2
24.8,95.9,43.7
25.2,94.5,45.1
23.9,91.5,40.3
23.9,93.2,45.5
24.8,97,44.4
25.2,96.3,40.9
25.2,96.9,47.5
24.8,90.4,49.9
25.2,97.1,43.3
23.5,94,45.6
24.5,94.2,45.1
23.9,91.8,41.2
24.2,94.9,46.9
25.2,92.1,48.6
25.8,97.6,42.3
24.5,95.7,44.2
25.2,94,43.7
23.9,87.6,38.4
23.9,91.8,44.5
24.5,95.8,43.4
25.2,95.8,47.3
24.5,86.8,48.3
24.8,97,42.8
23.9,92.2,44.7
24.5,94,42.9
23.9,91.6,38.5
23.9,94.2,44.2
25.2,95.8,44.2
25.2,96,47
24.5,91.7,48.6
24.2,95.4,43.1
25.5,95.3,42.8
24.5,94.9,43.9
24.2,93.1,45.3
24.8,94.8,45.5
25.2,95.3,48.1
25.2,90.3,47.3
24.2,95.1,46.4
24.8,94.5,43.9
24.2,91.4,43.3
23.5,86.4,41
23.5,88.3,45.9
23.9,93.1,46.6
23.9,94.4,47.3
24.2,94.7,51.6
24.2,80.7,49.6
23.2,88.3,45.5
22.6,93.3,47.2
22.6,95.4,43.6
22.3,94.3,53
23.9,93.9,47.3
24.2,95.1,49.1
24.2,95.5,51.6
22.9,89.4,58.4
22.6,94,53
22.9,93.4,51.1
22.6,89.8,42.9
22.3,92.2,52.1
23.5,93.5,49.2
23.5,95.3,49.9
22.6,88.5,58.1
23.9,96.6,49.6
22.3,93.6,52.7
23.2,94.5,49.2
22.9,91.7,46.1
22.9,93.2,51.4
23.9,94.3,53.8
23.2,93.5,48.9
23.5,88.5,56.8
23.2,94,49.9
22.9,93.5,50.2
22.9,90.3,49.4
22.6,84.8,43.9
21.9,87.4,53
22.9,93.9,56.8
22.6,82.9,58.4
22.6,96,51.9
21.9,90.7,50.7
22.3,93.4,51.1
21.9,89.2,44.5
22.6,95.5,52.9
22.6,95.5,59.8
22.6,88.6,57.6
21.9,93.4,51.9
22.6,93.5,52.9
21.6,90.3,47.2
21.3,92.3,56
22.3,95.6,60.1
21.9,95.5,52.9
21.9,94.7,54.8
22.6,88.1,59.5
22.3,97.5,54.1
21.3,93.5,56.3
21.6,94.9,55.4
21,91.2,52.4
20.6,94.2,62
21.6,95.8,59.8
21.9,96.5,63.1
21.9,96.6,55.5
21.9,89,63.6
21.9,97.5,58.9
20.3,93.5,63.1
20.3,94.6,61.1
20.3,92,54.3
20,96.6,61.7
22.6,97.3,60.3
22.6,97.8,54
21.6,92.7,64.1
20.6,95.2,60.8
21.9,95.9,56.8
20.6,93,51.8
21.9,92.1,62.5
22.9,97.7,54.6
21,95.1,57.4
22.3,95.8,54
20.6,93.5,51
23.5,97.2,57.8
22.9,96.3,60.4
23.2,98.1,52.7
21.9,97.6,54.3
25.2,97.7,49.1
21.6,92.9,49.9
22.6,94.9,53.3
21.6,96,54.4
23.2,96.9,57.1
23.2,95.4,57.6
21.9,94.9,55.7
23.9,97.7,52.1
21.3,93.4,51.3
21.6,95.5,54.4
21.6,95.6,55.5
21.9,96.3,53.7
22.6,94.6,58.2
21.6,97.2,53.7
22.6,96.1,53
21,93.5,50.3
20.6,95.5,57
22.3,96.4,59.6
22.3,92.3,58.4
20.6,95.1,55.5
22.9,96.2,52.4
20.6,93.4,49.4
24.5,97.8,53.7
24.5,98,48.9
22.9,97.9,50
22.9,92.6,58.1
23.5,97.8,50
21,95.3,54.9
21.6,95.5,52.2
21,91.8,50
21,94.4,55.7
22.9,95.5,51.4
22.3,94.4,54
22.3,90.5,58.5
21.9,95.5,54
21,94.8,56.7
21.3,93.9,55.1
20.3,89.3,51.6
20.3,92.2,58.5
20.3,91.8,57.6
21.3,93.5,60
21.6,88.2,60.3
20.6,95.1,55.4
20,92.6,59
20,93.6,57.1
19.4,89.3,52.7
19.4,92.6,60.1
20.6,93.4,61.5
20,93.3,54.8
20,92,58.5
20.6,87.1,60.4
19,92.8,60.1
19.7,93.6,57.1
18.7,92.6,59.6
20,94.4,54.3
20,93.5,57
20.3,94.1,60.8
20.3,88.7,60.4
20,96.2,55.1
18.4,93.2,59.2
18.7,91.8,56.8
18.7,87.4,52.7
18.4,91.1,58.9
19.4,93.4,57.3
19.4,94.3,54.1
20,83.7,60.6
19.7,94.4,55.4
18.4,91.9,60.4
18.4,92.6,56.8
18.4,87.8,52.9
18.1,90.4,59.8
19.7,91.5,61.9
19,91.3,55.1
19.7,81.4,61.1
19.4,93.4,56
17.7,89.1,60.1
18.4,88.4,56.8
18.1,80.4,53.3
17.4,86,60.6
18.7,87.3,59.2
19.4,89.8,62
19.4,76.8,61.9
17.4,87.1,60.4
17.7,84.7,57.6
17.7,75.5,53.7
17.4,81.7,60.4
19,67.6,61.7
17.4,81.6,60
17.4,81.8,57.1
17.7,73.7,52.7
17.1,78.8,60
18.7,68.2,61.4
17.4,83,59.3
17.7,86.1,55.7
17.7,80.1,51.8
17.4,84.9,59
19,89.8,61.1
18.7,76,60
17.4,88.7,57.9
17.7,89.7,55.9
17.4,83.6,50.7
17.1,87.5,58.1
18.7,83,59.8
17.4,90.3,58.4
17.7,89.1,55.5
17.4,84.5,51.3
17.1,88.6,58.2
18.7,83.4,59.3
17.4,91.8,57.9
17.7,89.8,54.3
17.7,82.3,50.5
17.1,85.1,57.1
18.4,89,59.3
18.1,91.1,54.9
18.7,68.8,59.2
18.4,94.2,55.7
17.1,81.6,57.9
17.1,88.1,55.1
17.4,78.6,51.1
17.1,84.6,57.6
18.4,92.1,57.8
19,93.8,61.9
18.7,73,59.6
18.7,95.1,54.9
17.1,81.7,58.4
17.1,85.6,55.9
17.4,75.1,51.8
18.4,90,58.7
18.1,92.3,54
18.7,92.1,61.4
18.4,67.1,59.8
17.1,80.4,59
17.1,82.3,56.5
17.4,74.1,51.4
16.8,80.5,58.1
17.7,85.2,57.4
17.7,88.5,53.7
18.4,88.3,60.4
18.4,70.4,59
17.1,83.3,57.4
17.1,80.5,55.4
17.1,65.9,50.8
16.8,71.2,58.2
17.7,79.6,57.1
18.4,84.4,61.5
17.4,84.4,53.7
18.4,51.5,58.9
17.7,87.4,54.1
16.8,66.6,57.8
16.8,66.7,54.9
17.1,54.4,49.9
16.5,63.5,57.3
17.4,80.4,53.5
17.7,75,56.3
18.1,80.3,60.4
18.1,44.3,58.9
18.1,80.5,54.4
16.8,64,57.1
16.8,62.4,55.4
17.1,54.3,49.7
16.5,62.5,57.1
17.4,72,57.1
17.4,77.9,54
18.1,36.6,58.7
17.7,79.1,53.7
16.8,55.5,56.8
16.8,65.1,54.1
17.1,56.7,50.3
16.8,63.4,57
18.4,70.2,61.2
17.4,70.1,53.8
18.1,46.6,58.5
17.7,75.2,54.8
16.8,63,56.8
16.8,51.1,55.4
17.1,35.2,50.7
16.5,40.6,57.9
18.1,54.8,61.4
18.1,20.1,59.2
17.7,64.7,56
16.8,35.2,58.7
16.5,36.8,56.5
17.1,30.8,51.1
16.5,37.5,59.2
17.1,52.1,57.3
17.1,56,53.5
18.1,56.6,62
18.1,18.9,59.8
16.5,38.4,58.5
16.5,45.7,55.7
16.8,30.7,50.7
16.5,37.4,57.9
17.1,51.5,57.6
17.1,55.9,54.3
18.1,56.5,61.1
18.1,20.5,58.9
16.5,39.4,57.1
16.5,35.8,54.8
16.8,26.6,50.2
17.1,46.4,56.8
17.1,48.9,53.5
17.7,49.7,60.6
17.7,16.1,58.5
17.4,60.7,54
16.5,29.1,56.5
16.5,34.6,53.8
16.8,21.4,49.6
16.1,28,56.2
17.1,39.4,55.9
17.7,44,59.8
16.8,43.5,52.7
17.7,12.9,57.8
17.4,49.8,53.5
16.5,29.2,55.2
16.1,21.8,52.9
16.8,16.6,48.8
16.1,21.1,55.4
16.8,29.1,52.7
17.1,25.4,54.8
17.7,31.4,59.3
17.7,8.7,56
17.4,36.5,52.1
16.1,19.8,54.9
16.1,11.8,52.4
16.8,7.3,47.2
16.1,9.7,54.6
17.1,13.5,54.9
17.7,14.6,58.5
16.8,11.6,51.8
17.7,4.3,55.7
16.1,4.5,54.6
16.1,3.1,52.1
16.5,3.1,47.3
16.1,4.5,55.1
17.1,8.6,54.6
17.7,6.5,59.3
16.8,3.8,52.2
17.7,3.1,56.2
16.1,1.4,54.1
16.1,1.5,52.4
16.5,2.2,48.1
16.1,3.7,55.4
16.5,2.2,52.7
16.8,7.5,55.5
17.7,3.1,56.5
16.1,1.1,55.1
15.8,1.3,52.7
16.5,2.1,48.6
15.8,3.5,55.7
16.8,6.7,55.5
17.4,4.5,59.8
16.8,1.8,52.9
17.4,3.1,56.2
17.1,12.3,53.2
16.1,1,54.8
15.8,1.1,53.2
16.5,2,48.1
15.8,3.4,55.4
17.4,4.2,58.9
16.8,6.4,54.9
17.4,3,56.3
16.1,0.9,54.6
15.8,1,52.4
16.5,2,47.3
15.8,3.4,54.4
16.8,1.4,53
16.8,6.4,54.8
17.4,3.1,56.5
17.1,12.8,52.4
16.1,0.9,54.4
15.8,1.2,52.1
16.5,2.1,47.7
16.8,6.5,54.1
16.8,1.7,52.4
17.4,4.2,59.3
17.4,3.1,56.2
16.1,1,54.1
15.8,1.3,51.4
16.5,2.2,46.7
15.8,3.6,54
16.5,1.7,51.8
16.8,6.5,53.3
17.4,4.1,58.7
17.4,3.2,55.1
16.8,12,51.4
16.1,1,53.7
15.8,0.3,51.3
16.5,2.1,46.6
15.8,3.4,54
16.8,6.6,53.7
16.5,1.7,51.4
17.4,4.3,57.9
17.4,3,54.4
16.1,1,53.7
15.8,1.2,51.3
16.1,2.1,46.6
15.8,3.5,53.7
16.5,6.3,53.7
17.4,4.1,58.5
16.5,1.7,51.8
17.4,3,55.1
15.8,1,53
15.8,1.3,50.3
16.1,2.1,45.5
15.5,3.5,53
16.8,6.6,52.6
17.4,4.1,57.6
17.4,3.1,54.1
15.8,1,52.7
15.5,1.2,50.3
16.1,2.1,45.3
15.5,3.5,52.6
16.5,6.6,51.1
17.1,4,54.9
16.5,1.6,49.7
17.1,3,53.5
16.8,11.4,49.2
15.8,1,52.2
15.5,1.2,51
16.1,2.1,45.3
15.5,3.4,52.7
16.1,1.6,49.4
17.4,4.1,55.9
17.1,3.1,53.5
15.8,1,51.8
15.5,1.1,49.6
16.1,2.1,45.1
16.5,6.5,51.1
16.1,1.4,49.7
17.1,3.9,55.5
17.1,3.1,53.3
16.5,12.3,48.5
15.5,0.9,51
15.5,1,48.5
15.8,2,43.6
15.5,3.4,50
16.8,3.6,56.2
16.1,6.4,50.7
16.8,3.1,52.4
15.5,0.9,49.2
15.2,1.1,48.3
15.8,2,42.5
15.2,3.4,49.4
17.1,3.8,54.9
16.1,1.3,49.7
17.1,3.1,51
15.5,0.9,49.4
15.2,1,48.1
15.8,2,43.4
15.5,3.4,51
16.1,6.5,51
16.8,4,55.1
17.1,3.1,51.9
16.5,11.7,48.1
15.5,0.9,50.5
15.5,1.1,48.3
15.8,2,43.7
15.2,3.5,50.7
16.1,6,48.8
17.1,4,55.4
16.1,1.5,48.6
17.1,3.1,51.9
15.5,0.9,50.5
15.2,1.1,49.4
15.8,2,42.1
15.2,3.4,49.9
16.1,6.3,48
16.8,3.8,54.1
16.8,3.1,51.3
16.5,10.2,46.1
15.5,0.9,49.7
15.2,1,45.5
15.8,2,39.8
15.2,3.3,46.7
16.1,6.2,46.2
17.1,3.8,50.5
16.1,1.4,45.9
16.8,3.1,48
16.5,10.3,44.2
15.5,0.9,45.3
15.2,1.1,44.2
15.8,2.1,38.4
16.1,1.4,47.2
17.1,3.9,51.3
16.1,6.7,45.8
16.8,3.1,48.3
15.5,0.9,45.9
15.2,1.1,44.7
15.8,2.1,40.6
16.1,6.6,45.6
16.8,3.9,51.3
16.1,1.5,45.6
15.2,3.5,47
16.8,3.1,47.5
15.5,0.9,46.1
15.2,1.1,44.7
15.8,2,41.2
16.8,3.7,51.3
16.1,1.5,47.8
15.2,3.4,47.3
16.8,3,50.2
15.5,0.9,46.1
15.2,1.1,45
15.8,2,41
16.1,6.5,47.7
15.8,1.5,46.7
16.8,3.8,52.4
15.2,3.3,47.7
16.8,3.1,50.2
16.5,10.2,45.5
15.5,0.9,47.8
15.2,1,46.2
15.8,1.9,42.1
16.1,6.6,47.3
16.8,3.8,52.6
15.8,1.4,47.8
15.2,3.3,48.6
16.8,3,50
15.2,0.9,47.2
15.2,1,46.2
15.5,2,41.5
16.1,6.5,48.1
16.8,3.7,53.2
15.8,1.2,48
15.2,3.3,47.8
16.5,3.1,49.9
15.2,0.9,48.1
14.8,1,46.2
15.5,1.9,42.6
15.8,6.5,46.7
16.8,3.7,52.2
15.8,1.2,46.4
15.2,3.3,49.1
16.5,3,50.3
15.2,0.9,48.1
14.5,1,46.9
15.5,2,41.8
15.8,6.4,48.5
16.8,3.6,53.5
15.8,1.2,48.1
12.9,3,53.7
16.5,3,49.6
16.1,10.5,46.7
14.8,0.8,47.8
14.2,0.9,46.7
15.2,1.9,41.8
15.5,1.2,47.8
15.8,6.5,48.5
16.5,3.6,54.4
11.9,3.1,58.4
16.1,3.1,51.1
14.8,0.8,47.8
14.2,1,47.3
15.2,2,41.5
15.5,6.5,49.4
16.5,3.6,54.3
12.9,3.1,55.9
16.1,3.1,50.2
15.8,10.8,47.3
14.5,0.8,48.6
14.2,1,47.3
15.2,2,42.5
16.5,3.7,53.8
13.5,3,54.1
16.1,3.1,51.3
15.8,10.1,46.7
14.8,0.8,48.8
14.2,1,47.8
14.8,2,42.8
15.8,6.7,47.7
16.5,3.7,54
15.5,1.4,48
13.9,3.1,52.4
16.1,3.1,51.1
15.8,9.9,46.2
14.5,0.9,49.1
14.2,1.1,47.5
15.5,6.7,48.3
16.5,3.8,54.3
15.5,1.3,48.5
14.2,3.1,51.1
16.1,3.1,51
14.5,0.9,49.2
14.5,1.1,47.7
15.2,2,42.9
15.8,6.5,48
16.5,3.7,54.6
14.2,3,51.3
16.1,3.1,51.4
15.8,10.3,45.9
14.5,0.9,49.9
14.2,1,48.6
16.5,3.7,54.1
15.5,1.2,47.8
15.2,2.1,43.9
14.2,3.1,51
16.1,3,51.6
14.8,1,50
14.5,1,48.1
15.2,2,43.7
15.2,1.1,48.3
16.5,3.6,54.4
14.5,2.9,51
16.1,3,51.8
14.5,0.9,50.3
14.2,1,48.9
14.8,2,44.5
15.2,1.2,48.3
16.1,3.7,54.6
13.9,2.9,51.8
15.8,3,51.8
15.8,9.8,47.2
13.9,0.9,50.8
13.9,1.1,49.7
15.8,6.8,48.1
16.5,3.8,54.4
15.5,1.3,47.3
13.9,3,52.6
15.8,3,52.7
16.1,10.2,46.6
14.2,0.9,51
13.9,1.1,49.4
15.8,6.7,49.9
15.5,1.6,48.8
16.5,3.9,54.3
13.9,3,52.6
15.8,3,52.4
14.2,0.9,51.1
13.9,1,49.7
14.2,2.1,45.6
15.2,6.5,53
15.8,3.9,56.5
14.8,1.5,50.7
13.5,3,52.9
15.5,3.1,53.5
13.9,0.9,51
13.5,1,50.2
15.5,3.7,58.2
14.8,1.2,51.3
14.5,6.6,53.8
13.2,3.1,52.9
15.2,3.1,53.7
13.9,1,52.1
13.2,1.2,51.8
14.2,2.2,46.4
14.8,6.5,54.3
15.5,3.8,58.9
13.5,3.2,53.7
15.2,3.1,54.1
13.9,1,53
13.5,1.2,50.8
15.2,3.9,57
14.5,1.3,51.4
13.5,3.2,53.3
15.5,3.1,54.1
15.2,11.1,51.8
13.9,1.1,52.7
13.9,1.2,50.5
14.8,1.5,52.1
15.5,4.1,58.7
13.5,3.3,53.5
15.5,3.1,53.8
15.2,11,51.1
13.9,1,52.6
13.5,1,51.9
14.2,2,47.2
14.8,6.9,54.1
15.5,4.1,57.8
14.8,1.7,51.8
13.5,3.2,54.6
14.8,2.9,57.9
13.2,0.9,57.1
13.2,1,56.3
13.9,2,49.9
15.2,6.8,54
15.5,4.1,57
14.8,1.6,51.1
13.2,3.2,57.9
14.5,2.9,61.2
15.5,10.9,51.6
13.2,0.9,59
12.9,1,60.1
13.5,1.9,52.2
16.1,4.1,58.1
15.2,1.6,51.9
12.9,3.1,60.6
14.2,2.8,62.6
15.5,10.2,52.4
13.2,1,61.2
12.6,1,61.2
14.5,7.2,56
13.5,1.9,53.7
15.8,4,62
14.5,1.6,54
12.9,3.1,61.7
14.5,2.8,64.2
12.9,0.9,63.6
12.6,1,62.2
14.5,7.2,56.7
13.5,1.9,54.1
15.5,3.2,60.8
14.5,1.6,54.1
12.6,3,62.8
14.2,2.8,64.7
12.6,0.9,63.3
12.6,1,61.5
14.8,7.4,56.2
13.2,2,54.9
15.5,3.3,58.9
14.8,1.6,53.7
12.6,3.1,63.7
14.2,2.9,65.3
12.6,1.1,63.6
12.6,1.5,62.6
15.2,4.3,58.9
14.5,2.5,52.2
13.2,2.5,56
12.6,4.1,63.4
14.2,3.4,64.7
14.8,12.4,52.7
12.9,3,64.4
12.9,5,61.9
14.8,11.5,54.6
15.2,11.1,60.1
14.5,8.6,52.7
13.2,7.5,55.7
12.6,11.6,64.2
14.2,7.3,64.9
15.2,21.9,53.2
12.9,16,64.1
12.6,21.3,61.4
14.8,25.1,55.9
15.2,30.2,59.8
14.5,27.4,53.3
13.5,23.4,54
12.6,32.3,64.4
14.5,20.6,65
15.2,43.3,53
12.9,41.1,64.1
12.6,44.1,62
14.8,44.6,54.3
15.5,54.3,58.1
13.9,42,52.6
12.9,52.1,62.2
14.5,38.3,63
12.9,62.7,63.9
12.6,65.6,61.2
15.5,74.3,57.8
14.8,71,51.4
13.9,59.9,52.6
13.2,69.1,61.4
14.5,53.2,63
15.2,80,52.9
15.5,84.9,57.1
14.8,83.3,51.6
15.5,87.6,50.8
14.8,83.2,54.6
15.5,88.2,58.1
14.8,86.8,51.1
15.2,89.8,51.1
14.8,85.4,54.8
15.2,89.8,58.2
15.2,91.1,51.8
15.2,91,59.2
14.5,89.7,51.9
14.8,91.8,50.8
15.8,91.4,51.4
14.5,90.5,51.9
15.5,91.8,59.2
17.1,92.4,50.8
15.2,92.3,58.2
14.5,91.1,51.9
15.2,93,51.4
15.5,92.6,58.5
16.5,89.9,48.5
15.2,93.3,51.3
15.2,93.5,50.8
16.8,93.5,50.7
15.8,93.3,59.2
14.8,91.9,51.4
15.2,93.4,50.5
15.8,93.5,56.8
14.8,92.2,51.4
15.5,93.8,50.5
15.5,93.6,57.9
14.8,92.4,51.3
15.5,93.9,51.3
19.7,95.5,44
15.8,93.8,58.4
15.2,92.5,50.7
15.8,94.1,50.3
20.3,95.5,43.4
16.1,94.1,56.2
15.8,94.4,49.7
16.5,94.1,56.2
21,95.6,41.8
16.1,94.5,49.1
21.6,95.7,36.5
16.5,94.3,54.1
16.5,94.7,45.8
16.8,94.5,51.1
15.8,93.6,46.9
21,95.4,36.8
17.1,94.9,51.1
16.5,94.2,45.5
16.8,95.6,43.4
17.4,95.3,49.6
16.8,94.6,45
17.4,96.3,43.6
18.4,95.1,43.6
17.7,96.2,52.2
18.1,96.6,44.4
17.4,95.8,45.3
18.1,96.2,49.1
17.7,96.6,44.5
18.4,96.6,48.5
18.7,97.2,47.2
20.3,97.9,41.2
17.7,96.7,42.6
18.4,94.9,44.7
18.4,96.5,49.2
18.7,95.1,41.8
19.7,97.3,45.3
22.6,97.8,40.3
20,96.8,41.7
19,97.6,42.5
19.7,95.9,41.5
20,97.8,46.7
22.6,97.9,40.6
22.6,96.9,42.6
22.6,96.8,39.8
21.3,98.1,38.5
21.9,96.8,39.3
22.6,97.5,41.7
21.9,97.9,37.6
21.6,96.8,40.7
22.9,97.7,42.1
22.6,97.7,40.6
22.6,97.8,40.4
23.5,97.5,38.7
22.6,97.9,37.1
22.6,97.3,39.2
22.3,98.1,37.4
21.9,96.9,35.4
22.6,97.6,38.5
22.3,97.8,41.5
22.9,96.9,35.1
21.9,97.6,39.2
21.6,97.6,40.6
22.3,96.9,35.5
21.3,97.7,41
22.6,98,36.5
23.2,98,36.6
20.3,97.4,45
21.6,96.9,38.8
20,97.4,47.3
21.6,97.6,40.6
21.9,98,39.8
20,97.5,48.1
21,97.6,42.3
21.3,97,41
20,97.4,47.5
21.6,98.1,39.9
20.6,97.7,43.1
21.3,97.1,39.3
21.9,98.1,40.6
21.9,97.8,41.8
20,97.3,47
21.6,97.3,37.9
20.3,97.4,46.9
21.6,98.3,40.1
22.3,97.4,37.7
20.3,97.4,47.5
20.3,97.5,46.1
21.6,97.8,40.4
21.6,97.4,35.8
20.6,97.4,45.9
22.3,98.4,39.6
22.6,97.5,34.4
21.9,98.4,38.8
21,97.6,44.5
23.2,97.9,39.2
22.9,97.8,35.7
21.6,97.7,44.8
23.9,98,40.7
22.6,98.5,38.8
23.2,97.1,34.4
22.6,97.1,44.2
22.6,98.2,38.2
24.2,97.8,32.1
21.9,97.7,44.7
24.5,98,39.3
24.2,98.4,36.9
22.6,97.8,44
24.8,98.1,39.6
24.5,98.6,34.9
24.8,97.9,32.4
22.3,97.5,41.8
25.2,97.3,38.4
24.2,98.6,36.2
24.5,97.9,32.1
23.9,97.8,39.2
23.5,98.4,36
25.8,98.1,37.7
23.2,98,33.3
23.2,97.8,41
21.9,97.4,36.2
22.3,97.2,43.9
25.2,98.1,38.5
23.2,97.8,42.1
24.2,98.7,34.7
23.2,98.1,33.3
24.2,97.8,38.5
24.5,98.3,33.2
26.8,98.1,37.3
23.5,97.8,40.4
21.9,98,36.6
21.9,97.7,44.2
23.2,98.6,37.4
23.5,97.8,43.9
22.6,98,34.4
22.9,98.1,35.1
24.5,97.8,40.9
25.8,98.1,40.1
24.5,98.1,39.5
23.9,97.8,42
24.2,98.6,37.1
21.6,98.1,35.4
24.2,97.8,42
24.5,98.1,39.6
22.9,98.3,37.7
22.3,97.7,44
23.5,97.8,41
20.6,97.9,36.9
22.6,98.5,38.5
20.3,97.8,38.4
22.6,97.6,41.2
23.2,97.5,42.8
20.3,93.5,49.6
19.7,93.8,44.8
19.4,94.1,42.6
19.4,95.5,43.9
19.7,97.5,42.8
20.3,95.3,48.8
20,97.1,42.3
19.4,92.7,50.5
18.7,93.4,44.8
19,96.2,45.1
18.4,93.1,47
19.7,95.8,50.7
18.7,95.1,44.8
18.4,96.9,43.7
20,95.7,49.7
18.1,92,47
17.7,90.3,46.7
17.7,87.7,47
18.7,89.4,50.5
18.7,83.5,52.1
17.4,81.4,47.3
17.1,67.9,47.8
18.4,68.6,55.4
17.1,65.8,47.7
16.8,48.1,49.1
17.1,47.7,48.9
17.7,48.7,54.3
17.1,27.6,48.8
18.1,23.9,57.4
16.8,22.1,48.6
16.8,4.3,48.9
17.7,6.9,53.2
17.1,8.7,48
16.8,7,48.9
17.4,4.2,54.9
16.5,1.6,48.6
16.8,6.3,48.5
17.1,3.9,54.3
16.5,1.2,48.8
16.8,6.4,49.6
16.5,1.1,49.7
17.4,3.6,57
16.5,6.5,50.2
17.1,3.6,54.3
16.5,1.1,49.4
16.5,6.1,50.2
16.1,1.1,48.9
17.1,6.1,55.5
16.5,6.5,50.2
16.1,6.5,50.7
16.8,5.9,56.5
16.8,6.1,55.5
15.8,1.1,50.7
16.5,12,49.2
16.1,6.5,51.6
16.8,6,58.2
15.8,6.5,51.8
16.8,6.2,58.2
16.5,6,57
15.8,6.6,52.4
16.8,6.3,58.4
15.8,1.1,51.4
15.8,6.6,52.6
16.5,3.7,57.3
15.5,1.1,52.6
15.5,1.1,52.1
16.5,3.7,58.5
15.8,6.1,52.9
16.1,3.8,59.2
15.2,1.1,52.2
15.5,6.7,53.5
16.1,3.8,58.4
15.5,6.5,53.7
16.1,3.7,60.3
15.2,1.2,52.6
15.2,1.2,53.3
16.1,3.6,59.6
15.5,6.7,54
15.5,6.6,54.3
16.1,3.6,59.3
15.2,6.7,55.4
16.1,3.6,60
15.2,1.1,53.7
15.2,6.6,55.4
15.8,3.6,61.4
14.8,1.1,53.8
15.8,3.5,60.4
15.2,6.6,56.3
15.8,3.5,61.4
16.1,3.6,61.9
14.8,1.1,54
15.2,6.2,56.5
14.8,1.1,54.6
15.8,3.6,61.2
14.8,1.1,54.4
15.8,3.6,61.1
14.8,6.5,57.6
15.8,3.5,61.1
14.8,1.1,54.3
14.5,6.6,57.6
14.8,1.1,55.7
14.5,1.1,54.6
14.8,6.8,58.1
15.8,3.6,62.5
14.8,6.7,57.8
15.8,3.6,61.9
14.8,1.1,54.9
14.8,1.1,55.2
15.5,3.6,61.4
15.8,3.5,60.8
15.2,6.6,55.1
15.8,3.6,59.8
15.2,1.1,53
15.2,6.7,54.1
15.8,3.5,60
15.8,3.5,60.4
14.8,1.1,53.8
14.8,6.6,56.5
15.8,3.5,60.6
14.8,1.1,53.7
15.5,3.5,61.4
14.8,1.1,54.1
15.2,12.5,54.3
14.5,6.7,58.7
15.5,3.5,61.1
15.5,3.5,62
14.8,6.7,57.6
14.8,6.6,57.9
15.5,3.6,61.7
14.5,1.1,53.8
15.5,3.5,61.7
14.5,1.1,54.3
14.8,6.6,58.2
14.5,6.5,58.9
15.2,3.5,62.3
14.5,6.6,59.3
15.2,3.6,62.6
14.5,3.6,62.8
13.9,1.1,55.2
14.2,6.5,59.3
14.5,2.6,63.4
13.9,6.7,60.4
13.9,6.8,60.8
14.2,2.7,63.3
13.5,1.2,55.9
13.2,1.8,55.9
14.2,3.7,63.6
13.5,7.1,60.4
14.2,9.7,63.9
13.5,10.3,61.1
13.2,6.3,56
13.2,26.5,61.9
13.2,27.3,56
13.9,33.3,63.9
14.2,59.7,64.2
13.2,54.9,56.7
13.9,75.6,64.2
13.2,66.9,61.2
13.2,71.9,56.5
13.5,76.8,61.1
13.9,83.8,63.7
13.2,81.4,56
14.2,88.4,63.6
13.2,86.3,56.5
14.2,89.6,63.7
13.5,85.3,61.4
13.2,88.3,56.2
14.2,86.7,59.2
13.2,87.9,56.2
13.9,89.8,63.6
14.2,91.2,63.7
13.2,89.8,56.3
15.5,88.3,58.9
